"Gemeinde_Nr","Gemeinde_Name","Tierversuche_Ja_Anteil","Tierversuche_Nein_Anteil","Tierversuche_Text","Tabakwerbung_Ja_Anteil","Tabakwerbung_Nein_Anteil","Tabakwerbung_Text","Stempelabgaben_Ja_Anteil","Stempelabgaben_Nein_Anteil","Stempelabgaben_Text","Medien_Ja_Anteil","Medien_Nein_Anteil","Medien_Text"
1091,"Mauensee LU",12,88,"In Mauensee hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 88 Prozent verworfen. Damit hat in Mauensee die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 63,6 Prozent.",49.5,50.5,"In Mauensee hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 50,5 Prozent verworfen. Damit sind in Mauensee im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",35.7,64.3,"Mit 326 Nein zu 181 Ja haben die Stimmbürgerinnen und Stimmbürger von Mauensee das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 64,3 Prozent.",45,55,"In Mauensee hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 55 Prozent verworfen."
1093,"Neuenkirch LU",16.8,83.2,"83,2 Prozent der Stimmbürgerinnen und Stimmbürger von Neuenkirch sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Neuenkirch die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 65,6 Prozent.",41.4,58.6,"58,6 Prozent der Stimmbürgerinnen und Stimmbürger von Neuenkirch sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Neuenkirch im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 80,4 Prozent.",41,59,"59 der Stimmbürgerinnen und Stimmbürger von Neuenkirch haben das Bundesgesetz über die Stempelabgaben abgelehnt.",41.5,58.5,"58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Neuenkirch sagen Nein zum Massnahmenpaket zugunsten der Medien."
1094,"Nottwil LU",17.3,82.7,"Nein zum Tier- und Menschenversuchsverbot in Nottwil: Mit 1'016 Nein- zu 212 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 82,7 Prozent. Damit hat in Nottwil die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 66,6 Prozent.",45.8,54.2,"Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Nottwil: Mit 667 Nein- zu 564 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 54,2 Prozent. Damit sind in Nottwil im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 76,3 Prozent.",40.6,59.4,"In Nottwil hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 59,4 Prozent haben die Vorlage abgelehnt.",41.1,58.9,"Nein zum Massnahmenpaket zugunsten der Medien in Nottwil: Mit 716 Nein- zu 500 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 58,9 Prozent."
1095,"Oberkirch LU",15.8,84.2,"Oberkirch hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 84,2 Prozent abgelehnt. Damit hat in Oberkirch die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 65,3 Prozent.",48.8,51.2,"Oberkirch hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 51,2 Prozent abgelehnt. Damit sind in Oberkirch im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 75,4 Prozent.",40,60,"Oberkirch hat das Bundesgesetz über die Stempelabgaben mit 60 Prozent Nein-Stimmen verworfen.",48.2,51.8,"Oberkirch hat das Massnahmenpaket zugunsten der Medien mit 51,8 Prozent abgelehnt."
1097,"Rickenbach LU",18.6,81.4,"Nein zum Tier- und Menschenversuchsverbot in Rickenbach LU: Mit 792 Nein- zu 181 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,4 Prozent. Damit hat in Rickenbach LU die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 65 Prozent.",32.7,67.3,"Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Rickenbach LU: Mit 663 Nein- zu 322 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 67,3 Prozent. Damit sind in Rickenbach LU im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 88,3 Prozent.",45.4,54.6,"In Rickenbach LU hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 54,6 Prozent haben die Vorlage abgelehnt.",35.6,64.4,"Nein zum Massnahmenpaket zugunsten der Medien in Rickenbach LU: Mit 633 Nein- zu 350 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 64,4 Prozent."
1098,"Ruswil LU",14.9,85.1,"Ruswil hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 85,1 Prozent abgelehnt. Damit hat in Ruswil die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 69,9 Prozent.",40.8,59.2,"Ruswil hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 59,2 Prozent abgelehnt. Damit sind in Ruswil im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 76,6 Prozent.",41.5,58.5,"Ruswil hat das Bundesgesetz über die Stempelabgaben mit 58,5 Prozent Nein-Stimmen verworfen.",43.7,56.3,"Ruswil hat das Massnahmenpaket zugunsten der Medien mit 56,3 Prozent abgelehnt."
1099,"Schenkon LU",15.3,84.7,"Schenkon hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 84,7 Prozent abgelehnt. Damit hat in Schenkon die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 64,6 Prozent.",36.9,63.1,"Schenkon hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 63,1 Prozent abgelehnt. Damit sind in Schenkon im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 83,6 Prozent.",48.1,51.9,"Schenkon hat das Bundesgesetz über die Stempelabgaben mit 51,9 Prozent Nein-Stimmen verworfen.",41.2,58.8,"Schenkon hat das Massnahmenpaket zugunsten der Medien mit 58,8 Prozent abgelehnt."
1100,"Schlierbach LU",15,85,"In Schlierbach hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 85 Prozent verworfen. Damit hat in Schlierbach die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 70,4 Prozent.",28,72,"In Schlierbach hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72 Prozent verworfen. Damit sind in Schlierbach im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 80,6 Prozent.",47.1,52.9,"Mit 165 Nein zu 147 Ja haben die Stimmbürgerinnen und Stimmbürger von Schlierbach das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 52,9 Prozent.",36.4,63.6,"In Schlierbach hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 63,6 Prozent verworfen."
1102,"Sempach LU",16.4,83.6,"83,6 Prozent der Stimmbürgerinnen und Stimmbürger von Sempach sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Sempach die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 61,4 Prozent.",43.2,56.8,"56,8 Prozent der Stimmbürgerinnen und Stimmbürger von Sempach sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Sempach im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",44.1,55.9,"55,9 der Stimmbürgerinnen und Stimmbürger von Sempach haben das Bundesgesetz über die Stempelabgaben abgelehnt.",50.9,49.1,"Ja zum Massnahmenpaket zugunsten der Medien in Sempach: Mit 50,9 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
1103,"Sursee LU",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
1104,"Triengen LU",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
1107,"Wolhusen LU",15.5,84.5,"Wolhusen hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 84,5 Prozent abgelehnt. Damit hat in Wolhusen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 66,8 Prozent.",38.9,61.1,"Wolhusen hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 61,1 Prozent abgelehnt. Damit sind in Wolhusen im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,3 Prozent.",41.1,58.9,"Wolhusen hat das Bundesgesetz über die Stempelabgaben mit 58,9 Prozent Nein-Stimmen verworfen.",45.5,54.5,"Wolhusen hat das Massnahmenpaket zugunsten der Medien mit 54,5 Prozent abgelehnt."
1121,"Alberswil LU",11.9,88.1,"In Alberswil hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 88,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Alberswil die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,2 Prozent.",34.6,65.4,"In Alberswil hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 65,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Alberswil im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 83 Prozent.",50,50,"Unentschieden in Alberswil: Genau gleich viele Stimmbürgerinnen und Stimmbürger haben bei der Abstimmung über das Bundesgesetz über die Stempelabgaben ein Ja oder ein Nein in die Urne gelegt, nämlich 87.",40.9,59.1,"In Alberswil hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 59,1 Prozent der abgegebenen Stimmzettel stand ein Nein."
1122,"Altbüron LU",17,83,"83 Prozent der Stimmbürgerinnen und Stimmbürger von Altbüron sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Altbüron die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 64,1 Prozent.",38.3,61.7,"61,7 Prozent der Stimmbürgerinnen und Stimmbürger von Altbüron sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Altbüron im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 79,6 Prozent.",45.4,54.6,"54,6 der Stimmbürgerinnen und Stimmbürger von Altbüron haben das Bundesgesetz über die Stempelabgaben abgelehnt.",44.4,55.6,"55,6 Prozent der Stimmbürgerinnen und Stimmbürger von Altbüron sagen Nein zum Massnahmenpaket zugunsten der Medien."
1123,"Altishofen LU",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
1125,"Dagmersellen LU",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
1127,"Egolzwil LU",18.6,81.4,"81,4 Prozent der Stimmbürgerinnen und Stimmbürger von Egolzwil sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Egolzwil die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,9 Prozent.",37.3,62.7,"62,7 Prozent der Stimmbürgerinnen und Stimmbürger von Egolzwil sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Egolzwil im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 82,7 Prozent.",44.2,55.8,"55,8 der Stimmbürgerinnen und Stimmbürger von Egolzwil haben das Bundesgesetz über die Stempelabgaben abgelehnt.",43.1,56.9,"56,9 Prozent der Stimmbürgerinnen und Stimmbürger von Egolzwil sagen Nein zum Massnahmenpaket zugunsten der Medien."
1128,"Ettiswil LU",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
1129,"Fischbach LU",18.7,81.3,"Fischbach hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 81,3 Prozent abgelehnt. Damit hat in Fischbach die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 69,5 Prozent.",33.8,66.2,"Fischbach hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 66,2 Prozent abgelehnt. Damit sind in Fischbach im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",32.4,67.6,"Fischbach hat das Bundesgesetz über die Stempelabgaben mit 67,6 Prozent Nein-Stimmen verworfen.",28.9,71.1,"Fischbach hat das Massnahmenpaket zugunsten der Medien mit 71,1 Prozent abgelehnt."
1131,"Grossdietwil LU",11.6,88.4,"88,4 Prozent der Stimmbürgerinnen und Stimmbürger von Grossdietwil sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Grossdietwil die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 72 Prozent.",31.1,68.9,"68,9 Prozent der Stimmbürgerinnen und Stimmbürger von Grossdietwil sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Grossdietwil im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 74,9 Prozent.",41.2,58.8,"58,8 der Stimmbürgerinnen und Stimmbürger von Grossdietwil haben das Bundesgesetz über die Stempelabgaben abgelehnt.",42.9,57.1,"57,1 Prozent der Stimmbürgerinnen und Stimmbürger von Grossdietwil sagen Nein zum Massnahmenpaket zugunsten der Medien."
1132,"Hergiswil bei Willisau LU",12.3,87.7,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Hergiswil bei Willisau: Mit 498 Nein-Stimmen zu 70 Ja-Stimmen oder 87,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Hergiswil bei Willisau die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 71,3 Prozent.",28.8,71.2,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Hergiswil bei Willisau: Mit 403 Nein-Stimmen zu 163 Ja-Stimmen oder 71,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Hergiswil bei Willisau im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",37.4,62.6,"In Hergiswil bei Willisau ist das Bundesgesetz über die Stempelabgaben mit 62,6 Prozent gescheitert.",42.3,57.7,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Hergiswil bei Willisau: Mit 325 Nein-Stimmen zu 238 Ja-Stimmen oder 57,7 Prozent hat die Gemeinde die Vorlage verworfen."
1135,"Luthern LU",11.3,88.7,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Luthern: Mit 331 Nein-Stimmen zu 42 Ja-Stimmen oder 88,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Luthern die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 75,6 Prozent.",23.3,76.7,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Luthern: Mit 286 Nein-Stimmen zu 87 Ja-Stimmen oder 76,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Luthern im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 83,8 Prozent.",35.8,64.2,"In Luthern ist das Bundesgesetz über die Stempelabgaben mit 64,2 Prozent gescheitert.",47,53,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Luthern: Mit 197 Nein-Stimmen zu 175 Ja-Stimmen oder 53 Prozent hat die Gemeinde die Vorlage verworfen."
1136,"Menznau LU",15.6,84.4,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Menznau: Mit 757 Nein-Stimmen zu 140 Ja-Stimmen oder 84,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Menznau die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,4 Prozent.",39.2,60.8,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Menznau: Mit 548 Nein-Stimmen zu 353 Ja-Stimmen oder 60,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Menznau im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 76,1 Prozent.",39.5,60.5,"In Menznau ist das Bundesgesetz über die Stempelabgaben mit 60,5 Prozent gescheitert.",40.3,59.7,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Menznau: Mit 534 Nein-Stimmen zu 360 Ja-Stimmen oder 59,7 Prozent hat die Gemeinde die Vorlage verworfen."
1137,"Nebikon LU",13.4,86.6,"In Nebikon hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 86,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Nebikon die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 61,8 Prozent.",32,68,"In Nebikon hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 68 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Nebikon im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 81,3 Prozent.",37.4,62.6,"Nebikon ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 62,6 Prozent Nein verworfen.",39.5,60.5,"In Nebikon hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 60,5 Prozent der abgegebenen Stimmzettel stand ein Nein."
1139,"Pfaffnau LU",18.5,81.5,"In Pfaffnau hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 81,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Pfaffnau die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 67,7 Prozent.",34.4,65.6,"In Pfaffnau hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 65,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Pfaffnau im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 82,2 Prozent.",33.3,66.7,"Pfaffnau ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 66,7 Prozent Nein verworfen.",41.8,58.2,"In Pfaffnau hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 58,2 Prozent der abgegebenen Stimmzettel stand ein Nein."
1140,"Reiden LU",17.4,82.6,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Reiden. Die Gemeinde hat das Volksbegehren mit 82,6 Prozent abgelehnt. Damit hat in Reiden die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 63,5 Prozent.",36.5,63.5,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Reiden. Die Gemeinde hat das Volksbegehren mit 63,5 Prozent abgelehnt. Damit sind in Reiden im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 82,6 Prozent.",37.2,62.8,"62,8 Prozent der Stimmbürgerinnen und Stimmbürger von Reiden haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",40.4,59.6,"Nein zum Massnahmenpaket zugunsten der Medien in Reiden. Die Gemeinde hat die Vorlage mit 59,6 Prozent abgelehnt."
